# TO BE USED TO INSERT MODEL ANNOTATIONS IN METABOLIC ATLAS DATABASE
# for REACTION ONLY
# annotations will be visible in the GEM browser pages and some can be used by the search engine
#
# some rules:
# this is a TAB separated file, thus TABs are not allowed in any field values
# each line added must have exactly 3 columns to be parsed properly
# do not modify the @ line
# column 'id' is mandatory, other columns are optional
# follow the max size limits
#
# columns description:
# column name    | description
# -----------------------------------------
# ec             | EC code, semicolon separated values
# pmid           | PMID, semicolon separated values
#
@id	ec	pmid
HMR_4496	EC:2.7.1.1	16906315; 7061426; 7150652; 8717435
HMR_4518	EC:3.5.4.3	10348987; 14342518; 16742482; 4821397; 4822729; 950009
HMR_4519	EC:1.17.1.4	2713424; 8248161
HMR_4520	EC:1.17.3.2	11993848; 1643670; 3010873; 8343533
HMR_4573	EC:2.7.1.40	1009117; 7154942
HMR_4574	EC:2.4.2.1	2301; 37803
HMR_4600	EC:2.7.1.113	15748706
HMR_4602	EC:3.1.3.5	11690631; 17405878; 6284244; 7999131
HMR_4603	EC:2.4.2.1; EC:2.4.2.4	2301; 37803
HMR_4611	EC:1.17.4.1	6121703; 8074691
HMR_4612	EC:1.17.4.1	6121703; 8074691
HMR_4614	EC:1.17.4.1	6121703; 8074691
HMR_4615	EC:1.17.4.1	6121703; 8074691
HMR_4617	EC:1.17.4.1	6121703; 8074691
HMR_4618	EC:1.17.4.1	6121703; 8074691
HMR_4619	EC:1.17.4.1	6121703; 8074691
HMR_4621	EC:1.17.4.1	6121703; 8074691
HMR_4632	EC:3.1.3.5	11690631; 17405878; 6284244; 7999131
HMR_4646	EC:1.17.1.4	11246119; 12632927
HMR_4648	EC:1.17.1.4	11246119; 12632927
HMR_4649	EC:1.17.3.2	16087479; 1643670; 16756494; 18600557; 8343533
HMR_4650	EC:1.17.3.2	16087479; 1643670; 16756494; 18600557; 8343533
HMR_4651	EC:2.4.2.15; EC:2.4.2.1	2301; 37803
HMR_4663	EC:2.4.2.1	2301; 37803
HMR_4664	EC:2.4.2.22	
HMR_4694	EC:3.5.4.4	12381379; 4625871; 9388
HMR_4695	EC:2.4.2.1; EC:2.4.2.4	2301; 37803
HMR_4705	EC:3.1.3.5	11690631; 17405878; 6284244; 7999131
HMR_4709	EC:2.4.2.1; EC:2.4.2.4	2301; 37803
HMR_4799	EC:6.3.4.13	8299947
HMR_4802	EC:6.3.3.1	4084560
HMR_4804	EC:4.1.1.21	4772278
HMR_4808	EC:6.3.5.3	6722784
HMR_4810	EC:6.3.2.6	17224163
HMR_4812	EC:4.3.2.2	1872474
HMR_4814	EC:2.1.2.3	11381136
HMR_5301	EC:2.7.1.48	
HMR_5353	EC:2.7.4.8	164875; 211390; 3024975; 4307347; 5552394
HMR_6601	EC:3.5.3.4	
HMR_6602	EC:1.11.1.7	10600166
HMR_6603	EC:1.11.1.7	10600166
HMR_6605		8325534
HMR_6606		8325534
HMR_6607		
HMR_6609	EC:3.5.2.5	11342423; 8248161
HMR_6610		8248161; 11342423
HMR_6611	EC:1.7.3.3	
HMR_7144	EC:3.6.1.13; EC:3.6.1.53	
HMR_8755	EC:1.17.3.2	
HMR_9797		
HMR_4016	EC:2.7.4.6	11768308
HMR_4018	EC:2.7.4.6	11768308
HMR_4044	EC:2.7.4.6	11768308
HMR_4291	EC:2.7.4.6	11768308
HMR_4420	EC:2.7.4.6	11768308
HMR_4570	EC:2.7.4.6	11768308; 2546816; 2832402
HMR_4572	EC:2.7.4.6	11768308; 2546816; 2832402
HMR_4006	EC:2.7.4.6	132087
HMR_4028	EC:2.7.4.6	132087
HMR_4030	EC:2.7.4.6	132087
HMR_4670	EC:2.7.4.6	11768308; 2546816; 2832402
HMR_4673	EC:2.7.4.6	132087
HMR_4675	EC:2.7.4.6	132087
HMR_6614	EC:2.7.4.6	3026468
HMR_6615	EC:2.7.4.6	3026468
HMR_6616	EC:2.7.4.6	3026468
HMR_4635	EC:2.7.4.6	132087
HMR_3793	EC:2.6.1.40	5773299
HMR_3931	EC:1.8.1.9	10462449; 11060283; 15110392
HMR_3969	EC:2.7.1.48	
HMR_3970	EC:3.1.3.5	
HMR_4008	EC:2.7.4.14; EC:2.7.4.4	10462544; 11912132; 132087; 7581800; 8867780
HMR_4032	EC:6.3.4.2	10064135; 7695960; 8365402; 932036
HMR_4034	EC:6.3.5.5	2472341; 29209; 8089153
HMR_4036	EC:4.1.1.23	856170; 8631878; 9042911
HMR_4050	EC:2.1.3.2	13319326; 29209
HMR_4056	EC:3.1.3.5; EC:3.1.3.35	14235544; 15262124; 15990964
HMR_4059	EC:3.6.1.5; EC:3.6.1.6	10858452
HMR_4060	EC:3.6.1.5; EC:3.6.1.6	10858452
HMR_4127	EC:3.6.1.8; EC:3.6.1.9; EC:3.6.1.45	11579996; 11946484; 12429023; 12846830; 1315502; 2822037; 2848456; 3001038; 4403504; 7532398; 7860751; 8001561
HMR_4177	EC:3.1.3.5	7479738
HMR_4179	EC:3.1.3.5	7479738
HMR_4182	EC:2.7.1.-	
HMR_4183	EC:3.6.1.5	15652174; 16752921; 17095758
HMR_4192	EC:3.6.1.5	15652174; 16752921; 17095758
HMR_4194	EC:6.3.4.2	16820675; 932036
